+------+-------------+-----------------------+-------------+-------------+
| Rank |  Drug Name  |      Target Name      | Interaction | Probability |
| 305  |    311.0    | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 306  |  6918651.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 307  |  16078986.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 308  |   55283.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 309  |  24831714.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 310  |    3331.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 311  |   216345.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 312  |  6605258.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 313  |  5354004.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 314  |    4839.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 315  |   408895.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 316  |  25025298.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 317  |    4500.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 318  | 129010081.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 319  |    5002.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 320  |  6604749.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 321  |  7098683.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 322  |  3073499.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 323  |   197584.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 324  |   68870.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 325  |  5702275.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 326  |  10472693.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 327  |  67462786.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 328  |  5353792.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 329  |   51167.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 330  |  45138674.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 331  |   56208.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 332  |    9369.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 333  |  3005573.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 334  |   644241.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 335  |  9826308.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 336  |  3995234.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 337  |    3960.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 338  |  11001318.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 339  |    6301.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 340  |  59174488.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 341  |  16760376.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 342  |    6000.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 343  |   455041.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 344  |  10252734.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 345  |    5581.0   | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 346  |  3036505.0  | SARS-CoV 3CL Protease |      NO     |     0.00    |
| 347  |  91084701.0 | SARS-CoV 3CL Protease |      NO     |     0.00    |
